Quarter,Consumer Price Index,UNRATE,Personal Savings,Inflation Rate,GDP,Personal Consumption Expenditures,Gross Savings,Gross saving as a percentage of gross national income,Gross domestic investment,Net saving as a percentage of gross national income,FEDFUNDS,Military Spending
1958-06-30,28.899999999999995,7.366666666666667,37.235,3.2000000000000006,471.978,292.8,96.8,20.4,97.0,7.3,0.9400000000000001,
1958-09-30,28.933333333333334,7.333333333333333,39.86,2.233333333333333,485.841,297.9,105.0,21.5,104.9,8.6,1.3233333333333335,
1958-12-31,28.933333333333334,6.366666666666667,41.014,2.0,499.555,301.8,113.1,22.6,114.3,9.8,2.1633333333333336,
1959-03-31,28.933333333333334,5.833333333333333,37.871,0.8999999999999999,510.33,309.4,117.8,23.0,119.4,10.4,2.57,
1959-06-30,29.03333333333333,5.1000000000000005,38.777,0.4333333333333333,522.653,315.5,124.9,23.7,125.5,11.3,3.0833333333333335,
1959-09-30,29.233333333333334,5.266666666666667,34.996,1.0333333333333332,525.034,320.7,117.3,22.3,119.7,9.8,3.5766666666666667,
1959-12-31,29.399999999999995,5.6000000000000005,37.22,1.5999999999999999,528.6,322.8,120.3,22.6,121.5,10.1,3.99,
1960-03-31,29.366666666666664,5.133333333333334,38.266,1.4666666666666668,542.648,326.4,132.9,24.4,131.6,12.1,3.9333333333333336,11.8366381675
1960-06-30,29.53333333333333,5.233333333333333,36.543,1.7,541.08,332.2,126.3,23.1,122.3,10.8,3.6966666666666668,11.8366381675
1960-09-30,29.600000000000005,5.533333333333334,38.57,1.2666666666666666,545.604,332.1,127.1,23.2,123.2,10.7,2.936666666666667,11.8366381675
1960-12-31,29.8,6.266666666666666,38.023,1.3999999999999997,540.197,334.0,121.5,22.2,112.8,9.6,2.296666666666667,11.8366381675
1961-03-31,29.8,6.8,41.746,1.5,545.018,334.5,124.6,22.7,118.0,10.0,2.0033333333333334,12.4699426525
1961-06-30,29.8,7.0,42.594,0.9,555.545,339.5,127.0,22.7,122.6,10.1,1.7333333333333334,12.4699426525
1961-09-30,29.96666666666667,6.766666666666667,46.222,1.2666666666666666,567.664,342.3,134.6,23.6,130.8,11.1,1.6833333333333333,12.4699426525
1961-12-31,30.0,6.2,46.979,0.6999999999999998,580.612,349.6,140.2,23.9,134.5,11.7,2.4,12.4699426525
1962-03-31,30.066666666666666,5.633333333333333,47.437,0.9,594.013,354.8,141.6,23.8,140.0,11.6,2.4566666666666666,13.6627356525
1962-06-30,30.2,5.533333333333334,47.464,1.3,600.366,360.5,142.0,23.5,138.6,11.3,2.606666666666667,13.6627356525
1962-09-30,30.333333333333332,5.566666666666666,46.689,1.2,609.027,364.3,144.4,23.6,141.3,11.4,2.8466666666666662,13.6627356525
1962-12-31,30.399999999999995,5.533333333333334,45.22,1.3,612.28,370.6,145.5,23.5,138.4,11.3,2.9233333333333333,13.6627356525
1963-03-31,30.433333333333334,5.766666666666667,46.175,1.2,621.672,374.3,149.1,23.7,142.9,11.5,2.966666666666667,13.640303945
1963-06-30,30.53333333333333,5.733333333333333,46.441,1.0999999999999999,629.752,378.4,153.8,24.1,145.2,12.0,2.9633333333333334,13.640303945
1963-09-30,30.7,5.5,45.932,1.2,644.444,385.4,154.7,23.9,150.4,11.8,3.33,13.640303945
1963-12-31,30.833333333333332,5.566666666666666,49.841,1.4000000000000001,653.938,390.0,158.9,24.1,152.3,12.1,3.453333333333333,13.640303945
1964-03-31,30.899999999999995,5.466666666666666,51.083,1.5,669.822,399.6,161.9,24.1,156.3,12.1,3.4633333333333334,13.358081765
1964-06-30,30.933333333333334,5.2,56.253,1.3,678.674,407.5,163.0,23.9,157.0,11.9,3.49,13.358081765
1964-09-30,31.066666666666666,5.0,54.746,1.2,692.031,416.4,166.4,23.9,159.2,12.0,3.456666666666667,13.358081765
1964-12-31,31.166666666666668,4.966666666666666,59.043,1.0999999999999999,697.319,419.0,172.9,24.5,161.7,12.6,3.5766666666666667,13.358081765
1965-03-31,31.233333333333334,4.8999999999999995,55.548,1.0999999999999999,717.79,429.7,180.8,24.9,172.7,13.1,3.9766666666666666,13.640447815
1965-06-30,31.46666666666667,4.666666666666667,56.274,1.7,730.191,436.6,182.7,24.7,174.0,12.9,4.079999999999999,13.640447815
1965-09-30,31.600000000000005,4.366666666666667,62.591,1.7,749.323,445.8,183.3,24.4,180.1,12.6,4.076666666666667,13.640447815
1965-12-31,31.733333333333334,4.1000000000000005,60.599,1.8,771.857,459.7,185.0,24.0,183.2,12.2,4.166666666666667,13.640447815
1966-03-31,31.96666666666667,3.8666666666666667,59.459,2.3666666666666667,795.734,470.1,194.3,24.5,196.1,12.8,4.56,16.6106878825
1966-06-30,32.333333333333336,3.8333333333333335,59.937,2.766666666666667,804.981,475.2,194.9,24.2,195.4,12.5,4.913333333333333,16.6106878825
1966-09-30,32.63333333333333,3.766666666666667,61.565,3.266666666666667,819.638,484.3,195.3,23.8,197.4,12.1,5.41,16.6106878825
1966-12-31,32.9,3.6999999999999997,66.483,3.6999999999999997,833.302,490.1,201.4,24.2,202.1,12.4,5.5633333333333335,16.6106878825
1967-03-31,32.93333333333333,3.8333333333333335,72.234,3.033333333333333,844.17,494.3,197.6,23.5,200.7,11.6,4.823333333333333,19.59961056
1967-06-30,33.2,3.8333333333333335,69.908,2.6999999999999997,848.983,503.5,194.0,22.8,194.1,10.8,3.9899999999999998,19.59961056
1967-09-30,33.5,3.7999999999999994,73.961,2.6666666666666665,865.233,510.7,201.9,23.2,200.8,11.2,3.893333333333333,19.59961056
1967-12-31,33.800000000000004,3.9,75.875,2.6999999999999997,881.439,518.2,208.5,23.5,206.0,11.4,4.173333333333333,19.59961056
1968-03-31,34.2,3.733333333333333,74.194,3.8333333333333335,909.387,536.3,207.0,22.7,210.6,10.7,4.79,21.082257805
1968-06-30,34.53333333333334,3.5666666666666664,76.781,4.0,934.344,550.0,213.6,22.9,218.5,10.9,5.983333333333333,21.082257805
